0 1 2 3 4 5 6 7 8
2 3 4 5 6 7 8 9 0
3 4 5 6 7 8 9 0 1
4 5 6 7 8 9 0 1 2
5 6 7 8 9 8 7 6 5
1 2 3 4 5 6 5 4 3
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 6 7 8
2 3 4 5 6 7 8 9 0
3 4 5 6 7 8 9 0 1
4 5 6 7 8 9 0 1 2
5 6 7 8 9 8 7 6 5
1 2 3 4 5 6 5 4 3
2 3 4 5 6 7 8 9 0
3 4 5 6 7 8 9 0 1
4 5 6 7 8 9 0 1 2
5 6 7 8 9 8 7 6 5
1 2 3 4 5 6 5 4 3
2 3 4 5 6 7 8 9 0
3 4 5 6 7 8 9 0 1
4 5 6 7 8 9 0 1 2
5 6 7 8 9 8 7 6 5
1 2 3 4 5 6 5 4 3
2 3 4 5 6 7 8 9 0
3 4 5 6 7 8 9 0 1
4 5 6 7 8 9 0 1 2
5 6 7 8 9 8 7 6 5
1 2 3 4 5 6 5 4 3
